fpl_code,fpl_player_name,fpl_first_name,fpl_second_name,fpl_position,understat_player_id,understat_first_name,understat_second_name,understat_web_name,confidence_level
28411,Navas,Keylor,Navas,GK,2243,Keylor,Navas,Navas,HIGH
28690,Hernández,Pablo,Hernández Domínguez,MID,2164,Pablo,Hernández Domínguez,Hernández,HIGH
32259,Randolph,Darren,Randolph,GK,540,Darren,Randolph,Randolph,HIGH
36903,Bale,Gareth,Bale,MID,2251,Gareth,Bale,Bale,HIGH
37096,Fabianski,Łukasz,Fabiański,GK,706,Lukasz,Fabianski,Fabianski,HIGH
37339,El Mohamady,Ahmed,El Mohamady,DEF,1685,Ahmed,Elmohamady,Elmohamady,HIGH
37402,Fuchs,Christian,Fuchs,DEF,749,Christian,Fuchs,Fuchs,HIGH
37572,Agüero,Sergio,Agüero,FWD,619,Sergio,Agüero,Agüero,HIGH
37642,Evans,Jonny,Evans,DEF,807,Jonny,Evans,Evans,HIGH
37915,Lloris,Hugo,Lloris,GK,637,Hugo,Lloris,Lloris,HIGH
38290,Rose,Danny,Rose,DEF,641,Danny,Rose,Rose,HIGH
38533,Patrício,Rui Pedro,dos Santos Patrício,GK,6849,Rui Pedro,dos Santos Patrício,Patrício,HIGH
38588,Berardi,Gaetano,Berardi,DEF,9423,Gaetano,Berardi,Berardi,HIGH
38716,Peltier,Lee,Peltier,DEF,6822,Lee,Peltier,Peltier,HIGH
39155,Lallana,Adam,Lallana,MID,486,Adam,Lallana,Lallana,HIGH
39487,Pieters,Erik,Pieters,DEF,887,Erik,Pieters,Pieters,HIGH
39790,Casilla,Francisco,Casilla Cortés,GK,2259,Francisco,Casilla Cortés,Casilla,HIGH
40142,Carroll,Andy,Carroll,FWD,537,Andy,Carroll,Carroll,HIGH
40145,Cork,Jack,Cork,MID,712,Jack,Cork,Cork,HIGH
40146,Bertrand,Ryan,Bertrand,DEF,835,Ryan,Bertrand,Bertrand,HIGH
40349,Begovic,Asmir,Begovic,GK,694,Asmir,Begović,Begović,HIGH
40383,Forster,Fraser,Forster,GK,831,Fraser,Forster,Forster,HIGH
40386,Basham,Chris,Basham,DEF,7704,Chris,Basham,Basham,HIGH
40387,Gosling,Dan,Gosling,MID,462,Dan,Gosling,Gosling,HIGH
40669,Ogbonna,Angelo,Ogbonna,DEF,528,Angelo,Ogbonna,Ogbonna,HIGH
40720,Cavani,Edinson,Cavani,FWD,3294,Edinson,Cavani,Cavani,HIGH
40784,Sakho,Mamadou,Sakho,DEF,485,Mamadou,Sakho,Sakho,HIGH
40836,Guaita,Vicente,Guaita,GK,2190,Vicente,Guaita,Guaita,HIGH
40845,Stephens,Dale,Stephens,MID,6051,Dale,Stephens,Stephens,HIGH
41135,Ivanovic,Branislav,Ivanovic,DEF,682,Branislav,Ivanovic,Ivanovic,HIGH
41270,David Luiz,David,Luiz Moreira Marinho,DEF,1676,David,Luiz,Luiz,HIGH
41328,Azpilicueta,César,Azpilicueta,DEF,681,César,Azpilicueta,Azpilicueta,HIGH
41338,Cathcart,Craig,Cathcart,DEF,581,Craig,Cathcart,Cathcart,HIGH
41674,Long,Kevin,Long,DEF,1747,Kevin,Long,Long,HIGH
41725,Deeney,Troy,Deeney,FWD,574,Troy,Deeney,Deeney,HIGH
41733,Wijnaldum,Georginio,Wijnaldum,MID,771,Georginio,Wijnaldum,Wijnaldum,HIGH
41823,Delph,Fabian,Delph,MID,876,Fabian,Delph,Delph,HIGH
42427,Gibbs,Kieran,Gibbs,DEF,545,Kieran,Gibbs,Gibbs,HIGH
43250,Cleverley,Tom,Cleverley,MID,596,Tom,Cleverley,Cleverley,HIGH
43670,Mata,Juan,Mata,MID,554,Juan,Mata,Mata,HIGH
44346,Giroud,Olivier,Giroud,FWD,502,Olivier,Giroud,Giroud,HIGH
44683,Rodriguez,Jay,Rodriguez,FWD,844,Jay,Rodriguez,Rodriguez,HIGH
44699,Barnes,Ashley,Barnes,FWD,4422,Ashley,Barnes,Barnes,HIGH
45034,Perišić,Ivan,Perišić,DEF,448,Ivan,Perisic,Perisic,HIGH
45124,A.Ayew,André,Ayew,MID,713,André,Ayew,Ayew,HIGH
45268,Sissoko,Moussa,Sissoko,MID,772,Moussa,Sissoko,Sissoko,HIGH
47247,Fleck,John,Fleck,MID,7709,John,Fleck,Fleck,HIGH
47390,Taylor,Neil,Taylor,DEF,710,Neil,Taylor,Taylor,HIGH
47431,Willian,Willian,Borges Da Silva,MID,700,Willian,Borges da Silva,Willian,HIGH
48717,Reid,Winston,Reid,DEF,529,Winston,Reid,Reid,HIGH
48760,Zanka,Mathias,Jorgensen,DEF,6030,Mathias,Jorgensen,Zanka,HIGH
49262,Steele,Jason,Steele,GK,7235,Jason,Steele,Steele,HIGH
49413,Tomkins,James,Tomkins,DEF,530,James,Tomkins,Tomkins,HIGH
49440,Robson-Kanu,Hal,Robson-Kanu,FWD,1738,Hal,Robson-Kanu,Robson-Kanu,HIGH
49944,Livermore,Jake,Livermore,MID,1689,Jake,Livermore,Livermore,HIGH
49957,Grosicki,Kamil,Grosicki,MID,3231,Kamil,Grosicki,Grosicki,HIGH
50093,Button,David,Button,GK,6843,David,Button,Button,HIGH
50175,Welbeck,Danny,Welbeck,FWD,501,Danny,Welbeck,Welbeck,HIGH
50229,Phillips,Matt,Phillips,MID,1737,Matt,Phillips,Phillips,HIGH
50232,Shelvey,Jonjo,Shelvey,MID,769,Jonjo,Shelvey,Shelvey,HIGH
50471,McArthur,James,McArthur,MID,633,James,McArthur,McArthur,HIGH
50472,McCarthy,James,McCarthy,MID,589,James,McCarthy,McCarthy,HIGH
51090,Thiago Silva,Thiago,Emiliano da Silva,DEF,3288,Thiago,Emiliano da Silva,Thiago Silva,HIGH
51927,Mee,Ben,Mee,DEF,1654,Ben,Mee,Mee,HIGH
51938,Albrighton,Marc,Albrighton,MID,753,Marc,Albrighton,Albrighton,HIGH
51940,de Gea,David,de Gea,GK,546,David,De Gea Quintana,De Gea,HIGH
51943,Hladký,Václav,Hladký,GKP,,,,,NONE
52775,Nkoulou,Nicolas,Nkoulou,DEF,3387,Nicolas,N&#039;Koulou,N&#039;Koulou,HIGH
54469,Smith,Adam,Smith,DEF,825,Adam,Smith,Smith,HIGH
54484,Femenía,Francisco,Femenía Far,DEF,5043,Francisco,Femenía Far,Femenía,HIGH
54694,Aubameyang,Pierre-Emerick,Aubameyang,FWD,318,Pierre-Emerick,Aubameyang,Aubameyang,HIGH
54738,Kaminski,Thomas,Kaminski,GK,11712,Thomas,Kaminski,Kaminski,HIGH
54861,Benteke,Christian,Benteke,FWD,606,Christian,Benteke,Benteke,HIGH
55037,Kouyaté,Cheikhou,Kouyaté,DEF,532,Cheikhou,Kouyaté,Kouyaté,HIGH
55422,Sigurdsson,Gylfi,Sigurdsson,MID,714,Gylfi,Sigurdsson,Sigurdsson,HIGH
55459,Cresswell,Aaron,Cresswell,DEF,534,Aaron,Cresswell,Cresswell,HIGH
55494,Ward,Joel,Ward,DEF,510,Joel,Ward,Ward,HIGH
55605,Alderweireld,Toby,Alderweireld,DEF,639,Toby,Alderweireld,Alderweireld,HIGH
55914,Cooper,Liam,Cooper,DEF,8816,Liam,Cooper,Cooper,HIGH
56377,Yarmolenko,Andriy,Yarmolenko,MID,6274,Andriy,Yarmolenko,Yarmolenko,HIGH
56872,Stanislas,Junior,Stanislas,MID,463,Junior,Stanislas,Stanislas,HIGH
56917,Cook,Steve,Cook,DEF,458,Steve,Cook,Cook,HIGH
56979,Henderson,Jordan,Henderson,MID,605,Jordan,Henderson,Henderson,HIGH
56983,Ritchie,Matt,Ritchie,DEF,461,Matt,Ritchie,Ritchie,HIGH
57127,Pukki,Teemu,Pukki,FWD,7696,Teemu,Pukki,Pukki,HIGH
57134,Rondón,Salomón,Rondón,FWD,813,Salomón,Rondón,Rondón,HIGH
57145,Fernández,Federico,Fernández,DEF,708,Federico,Fernández,Fernández,HIGH
57328,Clyne,Nathaniel,Clyne,DEF,603,Nathaniel,Clyne,Clyne,HIGH
57513,Lössl,Jonas,Lössl,GK,3468,Jonas,Lössl,Lössl,HIGH
57531,Antonio,Michail,Antonio,FWD,531,Michail,Antonio,Antonio,HIGH
58376,McCarthy,Alex,McCarthy,GK,635,Alex,McCarthy,McCarthy,HIGH
58498,Ighalo,Odion,Ighalo,FWD,573,Odion,Ighalo,Ighalo,HIGH
58621,Walker,Kyle,Walker,DEF,638,Kyle,Walker,Walker,HIGH
58771,Colback,Jack,Colback,MID,767,Jack,Colback,Colback,HIGH
58786,Kelly,Martin,Kelly,DEF,525,Martin,Kelly,Kelly,HIGH
58822,Cédric,Cédric,Soares,DEF,847,Cédric,Alves Soares,Cédric,HIGH
58845,Clark,Ciaran,Clark,DEF,875,Ciaran,Clark,Clark,HIGH
59735,Darlow,Karl,Darlow,GK,780,Karl,Darlow,Darlow,HIGH
59859,Gündogan,Ilkay,Gündogan,MID,314,Ilkay,Gündogan,Gündogan,HIGH
59940,Bartley,Kyle,Bartley,DEF,964,Kyle,Bartley,Bartley,HIGH
59949,Coleman,Séamus,Coleman,DEF,585,Seamus,Coleman,Coleman,HIGH
59966,Lacazette,Alexandre,Lacazette,FWD,3277,Alexandre,Lacazette,Lacazette,HIGH
60025,James,James,Rodríguez,MID,2249,James,Rodríguez,James,HIGH
60232,Dawson,Craig,Dawson,DEF,804,Craig,Dawson,Dawson,HIGH
60252,Townsend,Andros,Townsend,MID,775,Andros,Townsend,Townsend,HIGH
60307,Gross,Pascal,Groß,MID,239,Pascal,Groß,Groß,HIGH
60551,Westwood,Ashley,Westwood,MID,669,Ashley,Westwood,Westwood,HIGH
60586,Gudmundsson,Johann Berg,Gudmundsson,MID,1663,Johann Berg,Gudmundsson,Gudmundsson,HIGH
60689,Wood,Chris,Wood,FWD,4456,Chris,Wood,Wood,HIGH
60706,Adrián,Adrián,San Miguel del Castillo,GK,527,Adrián,San Miguel del Castillo,Adrián,HIGH
60914,Matip,Joel,Matip,DEF,332,Joel,Matip,Matip,HIGH
61256,Casemiro,Carlos Henrique,Casimiro,MID,2248,Carlos Henrique,Casimiro,Casemiro,HIGH
61366,De Bruyne,Kevin,De Bruyne,MID,447,Kevin,De Bruyne,De Bruyne,HIGH
61558,Thiago,Thiago,Alcántara do Nascimento,MID,229,Thiago,Alcántara do Nascimento,Thiago,HIGH
61600,Sawyers,Romaine,Sawyers,MID,8757,Romaine,Sawyers,Sawyers,HIGH
61739,Le Marchand,Maxime,Le Marchand,DEF,3304,Maxime,Le Marchand,Marchand,HIGH
61810,Jansson,Pontus,Jansson,DEF,1801,Pontus,Jansson,Jansson,HIGH
61933,Duffy,Shane,Duffy,DEF,6047,Shane,Duffy,Duffy,HIGH
62398,Matic,Nemanja,Matic,MID,697,Nemanja,Matic,Matic,HIGH
62974,Lamela,Erik,Lamela,MID,644,Erik,Lamela,Lamela,HIGH
63426,Stevens,Enda,Stevens,DEF,7707,Enda,Stevens,Stevens,HIGH
66242,Pröpper,Davy,Pröpper,MID,6050,Davy,Pröpper,Pröpper,HIGH
66588,Ayling,Luke,Ayling,DEF,8716,Luke,Ayling,Ayling,HIGH
66749,Lukaku,Romelu,Lukaku Bolingoli,FWD,594,Romelu,Lukaku,Lukaku,HIGH
66838,Tosun,Cenk,Tosun,FWD,6477,Cenk,Tosun,Tosun,HIGH
66975,Milivojevic,Luka,Milivojevic,MID,5549,Luka,Milivojevic,Milivojevic,HIGH
67089,Dúbravka,Martin,Dúbravka,GK,6532,Martin,Dubravka,Dubravka,HIGH
68312,Shaqiri,Xherdan,Shaqiri,MID,888,Xherdan,Shaqiri,Shaqiri,HIGH
68983,Lowton,Matthew,Lowton,DEF,1652,Matthew,Lowton,Lowton,HIGH
69140,Mustafi,Shkodran,Mustafi,DEF,1699,Shkodran,Mustafi,Mustafi,HIGH
69143,Kucka,Juraj,Kucka,MID,1123,Juraj,Kucka,Kucka,HIGH
69752,Neto,Norberto,Murara Neto,GK,1297,Norberto,Murara Neto,Neto,HIGH
71738,Stiepermann,Marco,Stiepermann,MID,7694,Marco,Stiepermann,Stiepermann,HIGH
72147,M.Bizot,Marco,Bizot,GK,9614,Marco,Bizot,Bizot,HIGH
72222,Klich,Mateusz,Klich,MID,4381,Mateusz,Klich,Klich,HIGH
72681,Odoi,Denis,Odoi,DEF,7077,Denis,Odoi,Odoi,HIGH
73314,Willian José,Willian José,Da Silva,FWD,2361,Willian,José,José,HIGH
73426,Gray,Andre,Gray,FWD,1660,Andre,Gray,Gray,HIGH
74208,Pogba,Paul,Pogba,MID,1740,Paul,Pogba,Pogba,HIGH
74230,van Aanholt,Patrick,van Aanholt,DEF,730,Patrick,van Aanholt,Aanholt,HIGH
74854,Moore,Simon,Moore,GKP,7715,,,,MEDIUM
74944,Morsy,Sam,Morsy,MID,12748,Sam,Morsy,Morsy,HIGH
75115,Wilson,Callum,Wilson,FWD,468,Callum,Wilson,Wilson,HIGH
76306,Rupp,Lukas,Rupp,MID,62,Lukas,Rupp,Rupp,HIGH
76357,Cairney,Tom,Cairney,MID,6835,Tom,Cairney,Cairney,HIGH
76359,Jones,Phil,Jones,DEF,951,Phil,Jones,Jones,HIGH
77777,Hegazi,Ahmed El-Sayed,Hegazy,DEF,3979,Ahmed,Hegazy,Hegazy,HIGH
77794,Trippier,Kieran,Trippier,DEF,652,Kieran,Trippier,Trippier,HIGH
77818,Shea,James,Shea,GK,11724,James,Shea,Shea,HIGH
78007,King,Joshua,King,FWD,465,Joshua,King,King,HIGH
78056,Romeu,Oriol,Romeu Vidal,MID,842,Oriol,Romeu Vidal,Romeu,HIGH
78315,Robles,Joel,Robles,GK,584,Joel,Robles,Robles,HIGH
78356,Austin,Charlie,Austin,FWD,848,Charlie,Austin,Austin,HIGH
78607,McLean,Kenny,McLean,MID,7693,Kenny,McLean,McLean,HIGH
78830,Kane,Harry,Kane,FWD,647,Harry,Kane,Kane,HIGH
78916,Burn,Dan,Burn,DEF,7382,Dan,Burn,Burn,HIGH
79602,Bentley,Daniel,Bentley,GK,11361,Daniel,Bentley,Bentley,HIGH
79852,Steer,Jed,Steer,GK,4475,Jed,Steer,Steer,HIGH
79934,Norwood,Oliver,Norwood,MID,7710,Oliver,Norwood,Norwood,HIGH
80146,J.Ayew,Jordan,Ayew,MID,672,Jordan,Ayew,J.Ayew,HIGH
80178,Bidwell,Jake,Bidwell,DEF,,,,,NONE
80179,Forshaw,Adam,Forshaw,MID,1711,Adam,Forshaw,Forshaw,HIGH
80201,Leno,Bernd,Leno,GK,181,Bernd,Leno,Leno,HIGH
80226,Aurier,Serge,Aurier,DEF,3600,Serge,Aurier,Aurier,HIGH
80607,Eriksen,Christian,Eriksen,MID,646,Christian,Eriksen,Eriksen,HIGH
80801,Gana,Idrissa,Gueye,MID,668,Idrissa,Gueye,Gueye,MEDIUM
80954,Rodrigo,Rodrigo,Moreno,FWD,2381,Rodrigo,Moreno,Rodrigo,HIGH
81012,Fredericks,Ryan,Fredericks,DEF,6891,Ryan,Fredericks,Fredericks,HIGH
81183,Vydra,Matej,Vydra,FWD,1017,Matej,Vydra,Vydra,HIGH
81205,Orsic,Mislav,Orsic,MID,11298,Mislav,Orsic,Orsic,HIGH
81441,Gillespie,Mark,Gillespie,GK,8729,Mark,Gillespie,Gillespie,HIGH
81880,Chamberlain,Alex,Oxlade-Chamberlain,MID,966,Alex,Oxlade-Chamberlain,Chamberlain,HIGH
82143,Foderingham,Wes,Foderingham,GK,8776,Wes,Foderingham,Foderingham,HIGH
82263,Alonso,Marcos,Alonso,DEF,1621,Marcos,Alonso,Alonso,HIGH
82403,Zaha,Wilfried,Zaha,MID,522,Wilfried,Zaha,Zaha,HIGH
82514,Ream,Tim,Ream,DEF,7184,Tim,Ream,Ream,HIGH
82691,Baldock,George,Baldock,DEF,7706,George,Baldock,Baldock,HIGH
82738,Berry,Luke,Berry,MID,11722,Luke,Berry,Berry,HIGH
83283,Redmond,Nathan,Redmond,MID,790,Nathan,Redmond,Redmond,HIGH
83299,Dunk,Lewis,Dunk,DEF,6048,Lewis,Dunk,Dunk,HIGH
83312,Gibson,Ben,Gibson,DEF,1707,Ben,Gibson,Gibson,HIGH
83314,Hendrick,Jeff,Hendrick,MID,1746,Jeff,Hendrick,Hendrick,HIGH
83427,Jack Robinson,Jack,Robinson,DEF,8286,Jack,Robinson,Robinson,HIGH
83428,Hanley,Grant,Hanley,DEF,7690,Grant,Hanley,Hanley,HIGH
84182,Areola,Alphonse,Areola,GK,2310,Alphonse,Areola,Areola,HIGH
84450,Xhaka,Granit,Xhaka,MID,204,Granit,Xhaka,Xhaka,HIGH
84583,Coutinho,Philippe,Coutinho Correia,MID,488,Philippe,Coutinho,Coutinho,HIGH
84915,Hector,Michael,Hector,DEF,5274,Michael,Hector,Hector,HIGH
84939,Ings,Danny,Ings,FWD,986,Danny,Ings,Ings,HIGH
85242,Hourihane,Conor,Hourihane,MID,7721,Conor,Hourihane,Hourihane,HIGH
85624,Kabasele,Christian,Kabasele,DEF,1725,Christian,Kabasele,Kabasele,HIGH
85633,Sels,Matz,Sels,GK,6903,Matz,Sels,Sels,HIGH
85955,Jorginho,Jorge Luiz,Frello Filho,MID,1389,Jorge Luiz,Frello Filho,Jorginho,HIGH
85971,Son,Son,Heung-min,MID,453,Son,Heung-min,Son,HIGH
86129,Koulibaly,Kalidou,Koulibaly,DEF,1376,Kalidou,Koulibaly,Koulibaly,HIGH
86417,Schlupp,Jeffrey,Schlupp,MID,757,Jeffrey,Schlupp,Schlupp,HIGH
86873,Lecomte,Benjamin,Lecomte,GKP,3451,,,,MEDIUM
86881,Mendy,Nampalys,Mendy,MID,1785,Nampalys,Mendy,Mendy,HIGH
86934,Lanzini,Manuel,Lanzini,MID,535,Manuel,Lanzini,Lanzini,HIGH
87835,Doherty,Matt,Doherty,DEF,6852,Matt,Doherty,Doherty,HIGH
87873,Dallas,Stuart,Dallas,MID,8718,Stuart,Dallas,Dallas,HIGH
88248,Ortega Moreno,Stefan,Ortega Moreno,GK,8786,Stefan,Ortega Moreno,Ortega,HIGH
88484,Sarabia,Pablo,Sarabia,MID,2199,Pablo,Sarabia,Sarabia,HIGH
88894,Barkley,Ross,Barkley,MID,592,Ross,Barkley,Barkley,HIGH
88900,Stephens,Jack,Stephens,DEF,1735,Jack,Stephens,Stephens,HIGH
89068,Kurzawa,Layvin,Kurzawa,DEF,3298,Layvin,Kurzawa,Kurzawa,HIGH
89076,Freuler,Remo,Freuler,MID,1488,Remo,Freuler,Freuler,HIGH
89085,Chalobah,Nathaniel,Chalobah,MID,1677,Nathaniel,Chalobah,Chalobah,HIGH
89335,Saúl,Saúl,Ñíguez,MID,2266,Saúl,Ñíguez,Ñíguez,HIGH
89470,Hernández,Onel,Hernández,MID,7697,Onel,Hernández,Hernández,HIGH
90105,Fraser,Ryan,Fraser,MID,1683,Ryan,Fraser,Fraser,HIGH
90152,Varane,Raphaël,Varane,DEF,2245,Raphael,Varane,Varane,HIGH
90517,Brady,Robbie,Brady,MID,789,Robbie,Brady,Brady,HIGH
90585,Boly,Willy,Boly,DEF,6850,Willy,Boly,Boly,HIGH
91046,Woodrow,Cauley,Woodrow,FWD,11721,Cauley,Woodrow,Woodrow,HIGH
91047,S.Armstrong,Stuart,Armstrong,MID,6893,Stuart,Armstrong,S.Armstrong,HIGH
91651,Kovačić,Mateo,Kovačić,MID,2254,Mateo,Kovacic,Kovacic,HIGH
91889,Füllkrug,Niclas,Füllkrug,FWD,6098,Niclas,Füllkrug,Füllkrug,HIGH
92217,Firmino,Roberto,Firmino,FWD,482,Roberto,Firmino,Firmino,HIGH
92259,Kebano,Neeskens,Kebano,MID,6840,Neeskens,Kebano,Kebano,HIGH
92371,Marí,Pablo,Marí,DEF,8380,Pablo,Marí Villar,Pablo Marí,LOW
93100,Vestergaard,Jannik,Vestergaard,DEF,111,Jannik,Vestergaard,Vestergaard,HIGH
93264,Dier,Eric,Dier,DEF,643,Eric,Dier,Dier,HIGH
93284,Andone,Florin,Andone,FWD,4068,Florin,Andone,Andone,HIGH
93605,Meunier,Thomas,Meunier,DEF,5680,Thomas,Meunier,Meunier,HIGH
94147,Coady,Conor,Coady,DEF,6851,Conor,Coady,Coady,HIGH
94245,Batshuayi,Michy,Batshuayi,FWD,1678,Michy,Batshuayi,Batshuayi,HIGH
94926,Ladapo,Freddie,Ladapo,FWD,1778,Olayinka Fredrick Oladotun,Ladapo,Ladapo,MEDIUM
95463,Ward,Danny,Ward,GK,473,Danny,Ward,Ward,HIGH
95658,Maguire,Harry,Maguire,DEF,1687,Harry,Maguire,Maguire,HIGH
95715,Lucas Moura,Lucas,Rodrigues Moura da Silva,MID,3293,Lucas,Rodrigues Moura da Silva,Lucas Moura,HIGH
96784,Clark,Jordan,Clark,MID,12187,Jordan,Clark,Clark,HIGH
96787,Elyounoussi,Mohamed,Elyounoussi,MID,6894,Mohamed,Elyounoussi,Elyounoussi,HIGH
96994,De Cordova-Reid,Bobby,De Cordova-Reid,MID,6827,Bobby,De Cordova-Reid,De Cordova-Reid,HIGH
97032,Virgil,Virgil,van Dijk,DEF,833,Virgil,van Dijk,Van Dijk,HIGH
97299,Stones,John,Stones,DEF,586,John,Stones,Stones,HIGH
97846,Cairns,Alex,Cairns,GKP,,,,,NONE
98745,Bellerín,Héctor,Bellerín,DEF,492,Héctor,Bellerín,Bellerín,HIGH
98747,Pope,Nick,Pope,GK,5552,Nick,Pope,Pope,HIGH
98980,Martinez,Emiliano,Martínez Romero,GK,4401,Emiliano,Martínez Romero,Martínez,HIGH
100649,Bernard,Bernard,Anício Caldeira Duarte,MID,7063,Bernard,Anício Caldeira Duarte,Bernard,HIGH
101105,Bryan,Joe,Bryan,DEF,6834,Joe,Bryan,Bryan,HIGH
101148,Lascelles,Jamaal,Lascelles,DEF,766,Jamaal,Lascelles,Lascelles,HIGH
101178,Ward-Prowse,James,Ward-Prowse,MID,843,James,Ward-Prowse,Ward-Prowse,HIGH
101184,Chambers,Calum,Chambers,DEF,508,Calum,Chambers,Chambers,HIGH
101188,Digne,Lucas,Digne,DEF,1823,Lucas,Digne,Digne,HIGH
101282,Crooks,Matt,Crooks,MID,,,,,NONE
101338,Sabitzer,Marcel,Sabitzer,MID,5248,Marcel,Sabitzer,Sabitzer,HIGH
101394,Yokuslu,Okay,Yokuslu,MID,6932,Okay,Yokuslu,Yokuslu,HIGH
101537,Felipe Anderson,Felipe Anderson,Pereira Gomes,MID,1208,Felipe,Anderson,Anderson,HIGH
101582,Fred,Frederico,Rodrigues de Paula Santos,MID,6817,Frederico,Rodrigues de Paula Santos,Fred,HIGH
101668,Vardy,Jamie,Vardy,FWD,755,Jamie,Vardy,Vardy,HIGH
101982,Johnstone,Sam,Johnstone,GK,978,Sam,Johnstone,Johnstone,HIGH
102057,Raúl,Raúl,Jiménez,FWD,4105,Raúl,Jiménez,Jiménez,MEDIUM
102380,Rüdiger,Antonio,Rüdiger,DEF,1822,Antonio,Rüdiger,Rüdiger,HIGH
102826,Mendy,Benjamin,Mendy,DEF,3389,Benjamin,Mendy,Mendy,HIGH
103025,Mahrez,Riyad,Mahrez,MID,750,Riyad,Mahrez,Mahrez,HIGH
103123,Haller,Sébastien,Haller,FWD,6144,Sébastien,Haller,Haller,HIGH
103192,Zouma,Kurt,Zouma,DEF,935,Kurt,Zouma,Zouma,HIGH
103914,Taylor,Charlie,Taylor,DEF,6044,Charlie,Taylor,Taylor,HIGH
103955,Sterling,Raheem,Sterling,MID,618,Raheem,Sterling,Sterling,HIGH
104047,Mpanzu,Pelly Ruddock,Mpanzu,MID,11716,Pelly,Ruddock Mpanzu,Mpanzu,HIGH
104542,Karius,Loris,Karius,GK,37,Loris,Karius,Karius,HIGH
104547,Gayle,Dwight,Gayle,FWD,743,Dwight,Gayle,Gayle,HIGH
105377,Alioski,Ezgjan,Alioski,DEF,8722,Ezgjan,Alioski,Alioski,HIGH
105666,Butland,Jack,Butland,GK,856,Jack,Butland,Butland,HIGH
105717,Masuaku,Arthur,Masuaku,DEF,1760,Arthur,Masuaku,Masuaku,HIGH
106468,Alex Moreno,Álex,Moreno Lopera,DEF,4120,Alexandre,Moreno Lopera,Álex Moreno,HIGH
106606,Luongo,Massimo,Luongo,MID,12747,Massimo,Luongo,Luongo,HIGH
106611,Keane,Michael,Keane,DEF,1653,Michael,Keane,Keane,HIGH
106617,Bamford,Patrick,Bamford,FWD,822,Patrick,Bamford,Bamford,HIGH
106618,Dummett,Paul,Dummett,DEF,853,Paul,Dummett,Dummett,HIGH
106757,Locadia,Jürgen,Locadia,FWD,6542,Jürgen,Locadia,Locadia,HIGH
106760,Shaw,Luke,Shaw,DEF,1006,Luke,Shaw,Shaw,HIGH
106837,Praet,Dennis,Praet,MID,1234,Dennis,Praet,Praet,HIGH
106921,Rulli,Gerónimo,Rulli,GKP,,,,,NONE
107265,Gunn,Angus,Gunn,GK,5544,Angus,Gunn,Gunn,HIGH
107613,Saïss,Romain,Saïss,DEF,3491,Romain,Saïss,Saïss,HIGH
108053,Townsend,Conor,Townsend,DEF,8905,Conor,Townsend,Townsend,HIGH
